Date,"('Open', 'KLBF.JK')","('High', 'KLBF.JK')","('Low', 'KLBF.JK')","('Close', 'KLBF.JK')","('Volume', 'KLBF.JK')",Next_Day_Close
2021-04-13,1395.5554674391778,1395.5554674391778,1372.4502444683305,1377.0712890625,22230800,1381.6923828125
2021-04-14,1372.4502932953596,1386.3134275710702,1372.4502932953596,1381.6923828125,23625400,1400.1766357421875
2021-04-15,1381.6924557323896,1400.1766357421875,1372.4503657274906,1400.1766357421875,15550100,1381.6923828125
2021-04-16,1390.9344723296404,1395.5555170882108,1372.4502932953596,1381.6923828125,25365600,1381.6923828125
2021-04-19,1386.3134275710702,1386.3134275710702,1377.0713380539298,1381.6923828125,9322500,1381.6923828125
2021-04-20,1381.6923828125,1395.5555170882108,1372.4502932953596,1381.6923828125,14811000,1381.6923828125
2021-04-21,1381.6923828125,1390.9344723296404,1381.6923828125,1381.6923828125,8530700,1377.0712890625
2021-04-22,1390.9344228450084,1395.5554674391778,1377.0712890625,1377.0712890625,11533000,1386.3133544921875
2021-04-23,1377.0712654622396,1390.9343990071613,1377.0712654622396,1386.3133544921875,15203100,1372.4501953125
2021-04-26,1377.0712397411614,1386.3133285984848,1372.4501953125,1372.4501953125,10788100,1363.208251953125
2021-04-27,1372.450341796875,1381.692431640625,1363.208251953125,1363.208251953125,18573600,1358.587158203125
2021-04-28,1358.587158203125,1367.8292477147108,1358.587158203125,1358.587158203125,19011800,1358.587158203125
2021-04-29,1358.587158203125,1367.8292477147108,1353.9661134473322,1358.587158203125,10495400,1330.86083984375
2021-04-30,1358.5871073404949,1363.2081519232856,1330.86083984375,1330.86083984375,33231500,1326.2398681640625
2021-05-03,1340.1030026744882,1353.9661371849138,1321.618823327254,1326.2398681640625,15108800,1358.587158203125
2021-05-04,1335.4819344241603,1363.208202958918,1330.8608896683675,1358.587158203125,16904400,1335.48193359375
2021-05-05,1358.587157358348,1363.2082021112674,1335.48193359375,1335.48193359375,18379900,1349.3450927734375
2021-05-06,1340.103003096907,1349.3450927734375,1335.481958258642,1349.3450927734375,26802700,1349.3450927734375
2021-05-07,1340.103003096907,1353.9661376117026,1335.481958258642,1349.3450927734375,20893200,1358.587158203125
2021-05-10,1353.9661134473322,1358.587158203125,1340.1029791799533,1358.587158203125,18464900,1335.48193359375
2021-05-11,1358.587157358348,1363.2082021112674,1330.8608888408305,1335.48193359375,23113700,1349.3450927734375
2021-05-17,1344.7240479351724,1353.9661376117026,1330.8609134203766,1349.3450927734375,31595500,1340.1029052734375
2021-05-18,1340.1029052734375,1353.9660387762663,1326.2397717706087,1340.1029052734375,18704800,1335.48193359375
2021-05-19,1335.48193359375,1340.1029783466695,1321.6187993349913,1335.48193359375,22644700,1349.3450927734375
2021-05-20,1330.8609134203766,1367.8292721264984,1330.8609134203766,1349.3450927734375,26107300,1358.587158203125
2021-05-21,1353.9661134473322,1363.208202958918,1340.1029791799533,1358.587158203125,10921100,1340.1029052734375
2021-05-24,1363.208127778152,1363.208127778152,1340.1029052734375,1340.1029052734375,9693700,1349.3450927734375
2021-05-25,1340.103003096907,1353.9661376117026,1330.8609134203766,1349.3450927734375,22179100,1312.376708984375
2021-05-27,1349.3450669839349,1353.9661117338799,1312.376708984375,1312.376708984375,162541000,1330.86083984375
2021-05-28,1321.6187506781685,1330.86083984375,1307.7556169297961,1330.86083984375,24377200,1340.1029052734375
2021-05-31,1335.4818607724947,1340.1029052734375,1312.3766382677802,1340.1029052734375,24095700,1335.48193359375
2021-06-02,1344.7240230995892,1349.3450678525087,1326.239844087911,1335.48193359375,30212300,1386.3133544921875
2021-06-03,1340.102909342448,1386.3133544921875,1335.4818648274738,1386.3133544921875,44274700,1372.4501953125
2021-06-04,1386.3133285984848,1386.3133285984848,1344.7239287405303,1372.4501953125,23701700,1381.6923828125
2021-06-07,1372.4502932953596,1381.6923828125,1349.3450695025083,1381.6923828125,16701100,1365.680908203125
2021-06-08,1375.0993972252154,1384.517886247306,1356.2624191810344,1365.680908203125,17121600,1356.2623291015625
2021-06-09,1365.6808174981013,1375.0993058946399,1351.5530849032932,1356.2623291015625,13979800,1356.2623291015625
2021-06-10,1356.2623291015625,1365.6808174981013,1346.843840705024,1356.2623291015625,20588200,1365.680908203125
2021-06-11,1356.2624191810344,1365.680908203125,1351.5531746699892,1365.680908203125,14598700,1351.55322265625
2021-06-14,1356.2624673344947,1370.390201369229,1346.8439779780051,1351.55322265625,18638300,1365.680908203125
2021-06-15,1360.9716636920798,1365.680908203125,1346.843930158944,1365.680908203125,23112800,1342.1346435546875
2021-06-16,1360.9716210080865,1365.6808653714363,1342.1346435546875,1342.1346435546875,12235400,1323.2977294921875
2021-06-17,1342.1347078479482,1351.5531970258285,1323.2977294921875,1323.2977294921875,21227200,1280.9144287109375
2021-06-18,1318.5883824965533,1323.2976267197553,1238.5312307021197,1280.9144287109375,97394900,1393.9364013671875
2021-06-21,1233.8220849939294,1436.3196027601086,1205.5666173986488,1393.9364013671875,220726700,1337.4254150390625
2021-06-22,1393.9363480688821,1426.9010590029434,1337.4254150390625,1337.4254150390625,67090200,1280.9144287109375
2021-06-23,1337.4253593893611,1342.134603612563,1276.2051844877356,1280.9144287109375,31460400,1290.3330078125
2021-06-24,1280.9145187043796,1299.7514969206204,1276.2052741503194,1290.3330078125,28444200,1276.205322265625
2021-06-25,1299.7515459236624,1337.4255037765222,1266.7868328024101,1276.205322265625,49431500,1295.042236328125
2021-06-28,1290.3329918323864,1323.2977033025568,1290.3329918323864,1295.042236328125,36530100,1295.042236328125
2021-06-29,1304.4607253196023,1337.4254367897727,1295.042236328125,1295.042236328125,34027000,1318.5885009765625
2021-06-30,1309.1700116838729,1332.7162349155972,1299.751522391183,1318.5885009765625,28588600,1318.5885009765625
2021-07-01,1318.5885009765625,1337.425479561942,1304.4607670375278,1318.5885009765625,19917700,1318.5885009765625
